Codigo,Familias,Nombre,Alias,Tasa,Unidad
MA-HN-SCH40-TUB-¾,,"Tubo HN SCH-40 de 3/4""",,,U
MA-HN-SCH40-TUB-1,,"Tubo HN SCH-40 de 1""",,,U
MA-HN-SCH40-TUB-1¼,,"Tubo HN SCH-40 de 1 1/4""",,,U
MA-HN-SCH40-TUB-1½,,"Tubo HN SCH-40 de 1½""",,,U
MA-HN-SCH40-TUB-2,,"Tubo HN SCH-40 de 2""",,,U
MA-HN-SCH40-TUB-2½,,"Tubo HN SCH-40 de 2½""",,,U
MA-HN-SCH40-TUB-3,,"Tubo HN SCH-40 de 3""",,,U
MA-HN-SCH40-TUB-4,,"Tubo HN SCH-40 de 4""",,,U
MA-HN-SCH40-TUB-6,,"Tubo HN SCH-40 de 6""",,,U
MA-HN-TAP-RAN-1,,"Tapa Ranurada HN 1""",,,U
MA-HN-TAP-RAN-1½,,"Tapa Ranurada HN 1½""",,,U
MA-HN-TAP-RAN-2,,"Tapa Ranurada HN 2""",,,U
MA-HN-TAP-RAN-3,,"Tapa Ranurada HN 3""",,,U
MA-HN-TAP-RAN-4,,"Tapa Ranurada HN 4""",,,U
MA-HN-TAP-RAN-6,,"Tapa Ranurada HN 6""",,,U
MA-HN-TEE-MEC-RAN-3x1½,,"Tee mecanica ranurada de 3"" x 1½""",,,U
MA-HN-TEE-MEC-RAN-3x2,,"Tee mecanica ranurada de 3"" x 2""",,,U
MA-HN-TEE-MEC-RAN-4x1,,"Tee mecanica ranurada de 3"" x 2""",,,U
MA-HN-TEE-MEC-RAN-4x1½,,"Tee mecanica ranurada de 4"" x 1½""",,,U
MA-HN-TEE-MEC-RAN-4x2,,"Tee mecanica ranurada de 3"" x 2""",,,U
MA-HN-TEE-MEC-RAN-6x4,,"Tee mecanica ranurada de 3"" x 2""",,,U
MA-HN-VAL-MAR-1,,"Válvula Mariposa HN de 1""",,,U
MA-HN-VAL-MAR-2,,"Válvula Mariposa HN de 2""",,,U
MA-HN-VAL-MAR-3,,"Válvula Mariposa HN de 3""",,,U
MA-HN-VAL-MAR-4,,"Válvula Mariposa HN de 4""",,,U
MA-HN-VAL-MAR-6,,"Válvula Mariposa HN de 6""",,,U
MA-HN-VALS-3,,"Valvula Supervisada 3""",,,U
MA-HN-VALS-4,,"Valvula Supervisada 4""",,,U
MA-INOX-COD-RO-½x90,,"CODO ROSC. A/l SCH-40 T-304/304L 1/2"" X 90°",,,U
MA-INOX-COD-RO-¾x90,,"CODO ROSC. A/l SCH-40 T-304/304L 3/4"" X 90""",,,U
MA-INOX-COD-RO-1¼x90,,"CODO ROSC. A/l SCH-40 T-304/304L 1 1/4"" X 90°",,,U
MA-INOX-COD-RO-1½x90,,"CODO ROSC. A/l SCH-40 T-304/304L 1 1/2"" X90°",,,U
MA-INOX-COD-RO-1x90,,"CODO ROSC. A/l SCH-40 T-304/304L 1"" X 90""",,,U
MA-INOX-COD-RO-2½x90,,"CODO ROSC. A/l SCH-40 T-304/304L 2-1/2"" X 90°",,,U
MA-INOX-COD-RO-2x90,,"CODO ROSC. A/l SCH-40 T-304/304L 2"" X 90°",,,U
